"team","id","name","photo_url","position","evaluation"
"palmeiras","dudu","Dudu","https://s.glbimg.com/es/sde/f/2017/04/18/5268d6ef98c67a25b1dabf90d489a37f_80x80.png","ATA","1"
"palmeiras","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2018/03/01/8596087ee3b876941e59b282b29cfcb2_80x80.png","MEC","1"
"palmeiras","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/18/63a42550ea5f70d0bbc92287dd6ac259_80x80.png","GOL","2"
"palmeiras","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2018/01/30/edb0d67e60d39d102b52517058ff4227_80x80.jpeg","LAD","2"
"palmeiras","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2018/03/01/1bfd94d7a93e4d5f7f21981109f79c87_80x80.png","LAE","2"
"palmeiras","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2018/03/01/0548d1925fd96270e520ea3b69e42e7b_80x80.png","LAE","2"
"palmeiras","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_80x80.png","ZAD","2"
"palmeiras","moises","Moisés","https://s.glbimg.com/es/sde/f/2017/04/18/a2b616905dc5f0c3eddcfafd4814e2d9_80x80.png","MEC","2"
"palmeiras","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_80x80.png","VOL","2"
"palmeiras","borja","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_80x80.png","ATA","2"
"palmeiras","willian","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_80x80.png","ATA","2"
"palmeiras","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_80x80.png","GOL","3"
"palmeiras","weverton","Weverton","https://s.glbimg.com/es/sde/f/2018/03/01/1b14659ebbd67b4f5e8df68d552f08f5_80x80.png","GOL","3"
"palmeiras","thiago-martins","Thiago Martins","https://s.glbimg.com/es/sde/f/2018/03/01/7d136da5ad6a68f1279a5a3bc3c16615_80x80.png","ZAD","3"
"palmeiras","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2017/04/18/68cf33625460a96d2a432f93ecc21db5_80x80.png","ZAD","3"
"palmeiras","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_80x80.jpeg","VOL","3"
"palmeiras","tche-tche","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_80x80.jpeg","VOL","3"
"palmeiras","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2017/04/18/2d51cc56ccd1291d116060e00ca663b6_80x80.png","VOL","3"
"palmeiras","keno","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_80x80.png","ATA","3"
"palmeiras","mayke","Mayke","https://s.glbimg.com/es/sde/f/2017/05/19/0c4040195eb2210f37198e62876f4dc1_80x80.png","LAD","4"
"palmeiras","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_80x80.png","ZAD","4"
"palmeiras","guerra","Guerra","https://s.glbimg.com/es/sde/f/2017/02/19/fa873321a36da270244cf230ac534a50_80x80.png","MEC","4"
"palmeiras","deyverson","Deyverson","https://s.glbimg.com/es/sde/f/2017/09/04/03b2e1a6f53171bc2a6aea4cea393821_80x80.jpeg","ATA","5"
"gremio","luan","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_80x80.png","ATA","1"
"gremio","arthur","Arthur","https://s.glbimg.com/es/sde/f/2017/04/23/ad145ff7dd594174acc3863cb2569b83_80x80.png","VOL","1"
"gremio","pedro-geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_80x80.png","ZAD","1"
"gremio","marcelo-grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2017/04/23/33e584cd67faa2ac529fcd131c75ed09_80x80.png","GOL","1"
"gremio","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2017/04/23/42279ad5c60655b3336944e26189eda5_80x80.png","ZAD","2"
"gremio","maicon","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_80x80.png","VOL","2"
"gremio","everton","Everton","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_80x80.png","ATA","2"
"gremio","andre","André","https://s.glbimg.com/es/sde/f/2018/03/26/6b3009f67bc00fc3c783c397b4cbbdc9_80x80.png","ATA","2"
"gremio","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2017/04/23/01565939c1e8813f9c1cc7cf9faeb903_80x80.png","VOL","3"
"gremio","alisson","Alisson","https://s.glbimg.com/es/sde/f/2018/01/12/027101f3c08e72cf83c362b982c78f49_80x80.png","MEC","3"
"gremio","jailson","Jailson","https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_80x80.png","VOL","3"
"gremio","paulo-victor","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_80x80.png","GOL","4"
"gremio","bressan","Bressan","https://s.glbimg.com/es/sde/f/2017/04/23/06d46a41c53307f20ca424fbe4e9bf64_80x80.png","ZAD","4"
"gremio","leo-moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_80x80.png","LAD","4"
"gremio","bruno-cortez","Bruno Cortez","https://s.glbimg.com/es/sde/f/2017/04/23/6917817dc16511add10913a87474f1f7_80x80.png","LAE","4"
"gremio","madson","Madson","https://s.glbimg.com/es/sde/f/2018/01/12/41002dccf69a0ebd70ec9aa20cc20919_80x80.png","LAD","4"
"gremio","michel","Michel ","https://s.glbimg.com/es/sde/f/2017/04/23/555af733f4228e215781ed3d2cd99c56_80x80.png","VOL","4"
"gremio","cicero","Cícero","https://s.glbimg.com/es/sde/f/2018/02/07/2579c294b6dea3b9b44c1e0ddbe0a64f_80x80.jpeg","MEC","4"
"gremio","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2018/04/09/91b61a14df4512fe1db6fd9a9dbd5ebd_80x80.png","MEC","4"
"gremio","hernane","Hernane","https://s.glbimg.com/es/sde/f/2018/03/25/dd9ea56235c4560ee7a1b057397c6134_80x80.png","ATA","4"
"gremio","jael","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_80x80.png","ATA","4"
"gremio","marcelo-oliveira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_80x80.png","LAE","5"
"gremio","paulo-miranda","Paulo Miranda","https://s.glbimg.com/es/sde/f/2011/08/14/7022e0e5e15ad7911141a46c0de5c8ff_80x80.jpeg","ZAD","5"
"cruzeiro","fabio","Fábio","https://s.glbimg.com/es/sde/f/2017/04/05/8723e1fa0950cb91f4b5c39409f23d85_80x80.png","GOL","1"
"cruzeiro","rafael","Rafael","https://s.glbimg.com/es/sde/f/2016/04/29/43e8562bfd0ac31a9d9fd5bd5f87aee8_80x80.png","GOL","3"
